Repo_Name,PR_Number,Created_At,Merged_At,Merge_Time_Hours,PR_Size_Lines,Rejections_Count,Branch_Lifetime_Hours
Taller-Backend-IDWM-1erSem-2026,17,2026-04-20T20:01:43Z,2026-04-20T20:14:58Z,0.22,639,0,26.94
Taller-Backend-IDWM-1erSem-2026,16,2026-04-20T19:59:47Z,2026-04-20T19:59:57Z,0.0,639,0,26.69
Taller-Backend-IDWM-1erSem-2026,15,2026-04-12T04:06:03Z,2026-04-12T18:57:18Z,14.85,2826,0,43.16
Taller-Backend-IDWM-1erSem-2026,14,2026-04-12T04:01:54Z,2026-04-12T04:02:06Z,0.0,2826,0,28.24
Taller-Backend-IDWM-1erSem-2026,13,2026-04-01T01:51:13Z,2026-04-01T02:46:20Z,0.92,3430,0,79.38
Taller-Backend-IDWM-1erSem-2026,12,2026-04-01T01:48:56Z,2026-04-01T01:49:04Z,0.0,3430,0,78.43
Taller-Backend-IDWM-1erSem-2026,10,2026-03-26T00:55:05Z,2026-03-26T12:47:34Z,11.87,991,0,21.63
Taller-Backend-IDWM-1erSem-2026,9,2026-03-26T00:47:55Z,2026-03-26T00:48:12Z,0.0,991,0,9.64
Taller-Backend-IDWM-1erSem-2026,8,2026-03-23T01:39:49Z,2026-03-23T01:44:14Z,0.07,102,0,0.09
Taller-Backend-IDWM-1erSem-2026,7,2026-03-22T22:51:06Z,2026-03-23T01:57:19Z,3.1,1376,0,50.65
Taller-Backend-IDWM-1erSem-2026,6,2026-03-22T22:48:34Z,2026-03-22T22:49:01Z,0.01,1342,0,47.52
Taller-Backend-IDWM-1erSem-2026,5,2026-03-17T00:17:04Z,2026-03-17T00:17:20Z,0.0,119,0,0.18
Taller-Backend-IDWM-1erSem-2026,4,2026-03-16T21:25:37Z,2026-03-17T00:32:51Z,3.12,2131,0,50.44
Taller-Backend-IDWM-1erSem-2026,3,2026-03-16T21:20:40Z,2026-03-16T21:20:51Z,0.0,1709,0,20.81
Taller-Backend-IDWM-1erSem-2026,2,2026-03-14T22:41:01Z,2026-03-14T22:41:11Z,0.0,13,0,0.03
Taller-Backend-IDWM-1erSem-2026,1,2026-03-14T22:20:03Z,2026-03-14T22:20:45Z,0.01,294,0,0.24
